Opportunity ID,Company Name,ARR,Stage,Win/Loss,Sales Rep,Industry,Deal Size,Days in Stage,Objection Category,Product Adoption Score,Customer Health Score,Renewal Probability
OPP-0001,Pinnacle Data,25000,Discovery,Open,Priya Nair,Real Estate Tech,SMB,4,Budget Freeze,16,66,48.7
OPP-0002,Conduit Software,19000,Proposal,Open,Alex Chen,Real Estate Tech,SMB,63,Contract Terms,29,74,67.6
OPP-0003,Vortex Tech,24000,Prospecting,Open,Priya Nair,E-Commerce,SMB,11,Contract Terms,15,48,63.8
OPP-0004,Overture Tech,105000,Qualification,Open,Alex Chen,Real Estate Tech,Mid-Market,23,Contract Terms,13,55,56.3
OPP-0005,Archway Tech,480000,Closed Won,Won,Riley Scott,HealthTech,Enterprise,3,No Objection,94,70,84.0
OPP-0006,Cliffside AI,60000,Closed Won,Won,Marcus Rivera,Legal Tech,Mid-Market,2,Stakeholder Alignment,78,71,75.0
OPP-0007,Nimbus Tech,27000,Discovery,Open,Marcus Rivera,HR Tech,SMB,4,Stakeholder Alignment,15,56,35.3
OPP-0008,Zenith Cloud,21000,Qualification,Open,Jamie Wu,MarTech,SMB,14,Feature Gap,33,53,41.1
OPP-0009,Coda Analytics,420000,Closed Lost,Lost,Alex Chen,DevTools,Enterprise,3,Competitor Preference,34,27,18.7
OPP-0010,Capstone Software,65000,Discovery,Open,Alex Chen,Manufacturing,Mid-Market,6,Stakeholder Alignment,26,42,27.4
OPP-0011,Ember Technologies,85000,Negotiation,Open,Casey Park,HR Tech,Mid-Market,29,Pricing,59,58,71.9
OPP-0012,Centric Platforms,610000,Negotiation,Open,Sam Torres,FinTech,Enterprise,33,Pricing,49,56,55.2
OPP-0013,Canopy Software,18000,Qualification,Open,Jamie Wu,Manufacturing,SMB,15,ROI Justification,40,57,63.8
OPP-0014,Lumina Analytics,32000,Qualification,Open,Dana Kim,HR Tech,SMB,39,ROI Justification,16,71,21.6
OPP-0015,Valleyforge Cloud,65000,Proposal,Open,Riley Scott,PropTech,Mid-Market,53,Pricing,45,66,66.0
OPP-0016,Arclight Solutions,80000,Proposal,Open,Sam Torres,PropTech,Mid-Market,12,Contract Terms,30,74,73.9
OPP-0017,Meridian Software,140000,Proposal,Open,Dana Kim,Logistics,Mid-Market,49,Pricing,23,47,55.5
OPP-0018,Hardline Software,660000,Negotiation,Open,Marcus Rivera,PropTech,Enterprise,41,Stakeholder Alignment,62,87,78.2
OPP-0019,Ridge Systems,17000,Proposal,Open,Sam Torres,Real Estate Tech,SMB,30,Budget Freeze,14,61,51.6
OPP-0020,Netcrest Analytics,24000,Qualification,Open,Jordan Blake,Legal Tech,SMB,10,No Objection,15,59,34.7
OPP-0021,Flatrock Cloud,105000,Proposal,Open,Riley Scott,RetailTech,Mid-Market,30,Pricing,56,76,80.3
OPP-0022,NovaTech Solutions,510000,Discovery,Open,Alex Chen,EdTech,Enterprise,5,No Objection,27,58,55.9
OPP-0023,Quantum Leap Inc,300000,Qualification,Open,Sam Torres,E-Commerce,Enterprise,37,Security Concerns,24,61,51.2
OPP-0024,Nexus Platforms,125000,Discovery,Open,Riley Scott,Logistics,Mid-Market,8,Budget Freeze,7,32,31.7
OPP-0025,Luminary Data,440000,Closed Lost,Lost,Alex Chen,RetailTech,Enterprise,1,Competitor Preference,37,16,7.8
OPP-0026,Cobalt Systems,490000,Negotiation,Open,Jordan Blake,MarTech,Enterprise,30,Contract Terms,41,79,71.0
OPP-0027,Dockside AI,70000,Prospecting,Open,Alex Chen,Legal Tech,Mid-Market,3,Budget Freeze,4,52,25.5
OPP-0028,Momentum Cloud,130000,Negotiation,Open,Alex Chen,RetailTech,Mid-Market,61,Competitor Preference,57,65,74.4
OPP-0029,Sagelink Analytics,15000,Qualification,Open,Priya Nair,Cybersecurity,SMB,17,Feature Gap,28,56,51.4
OPP-0030,Eclipse Software,95000,Discovery,Open,Casey Park,Manufacturing,Mid-Market,10,Timing,14,42,45.3
OPP-0031,Momentum AI,470000,Discovery,Open,Morgan Lee,PropTech,Enterprise,11,Security Concerns,16,53,52.2
OPP-0032,Orion Ventures,17000,Closed Lost,Lost,Dana Kim,FinTech,SMB,7,Budget Freeze,12,42,9.4
OPP-0033,Compass Cloud,26000,Closed Lost,Lost,Jordan Blake,Real Estate Tech,SMB,2,Competitor Preference,41,28,12.5
OPP-0034,Synapse AI,16000,Negotiation,Open,Dana Kim,MarTech,SMB,39,Contract Terms,58,56,60.6
OPP-0035,Rampart Cloud,420000,Discovery,Open,Priya Nair,E-Commerce,Enterprise,11,ROI Justification,18,46,16.9
OPP-0036,Highlands Data,165000,Discovery,Open,Sam Torres,EdTech,Mid-Market,6,ROI Justification,9,38,15.8
OPP-0037,Vanguard Data,340000,Discovery,Open,Marcus Rivera,Logistics,Enterprise,10,Pricing,20,58,16.4
OPP-0038,Folio Data,100000,Negotiation,Open,Casey Park,DevTools,Mid-Market,27,Contract Terms,68,68,71.7
OPP-0039,Signal Tech,20000,Proposal,Open,Casey Park,DevTools,SMB,21,Budget Freeze,15,56,56.2
OPP-0040,Cornerstone Data,160000,Discovery,Open,Alex Chen,Cybersecurity,Mid-Market,27,Competitor Preference,25,50,43.7
OPP-0041,Vantage Analytics,18000,Negotiation,Open,Marcus Rivera,Logistics,SMB,69,Stakeholder Alignment,41,71,59.4
